Dataset,Temp,Distance,Gradius,Duration,Periodicity,Freq.,Location,Transition Statistics,Location Coverage
GeoLife,0.7,0.0020,0.0507,0.0084,0.0182,0.0173,0.0206,0.0934,22.7%
GeoLife,1.0,0.0009,0.0227,0.0018,0.0029,0.0242,0.0237,0.0337,36.8%
GeoLife,1.2,0.0010,0.0120,0.0014,0.0009,0.0173,0.0161,0.0267,46.5%
GeoLife,1.4,0.0016,0.0190,0.0032,0.0010,0.0139,0.0188,0.0357,43.1%
GeoLife,1.6,0.0024,0.0406,0.0040,0.0015,0.0139,0.0146,0.0431,32.7%
MobilitySyn,0.7,0.0016,0.0857,0.0966,0.0292,0.0138,0.0140,0.0147,42.9%
MobilitySyn,1.0,0.0011,0.0699,0.0689,0.0164,0.0139,0.0070,0.0106,61.5%
MobilitySyn,1.2,0.0010,0.0689,0.0231,0.0181,0.0139,0.0000,0.0099,69.8%
MobilitySyn,1.4,0.0012,0.0674,0.0191,0.0142,0.0139,0.0000,0.0098,67.3%
MobilitySyn,1.6,0.0018,0.0848,0.0211,0.0082,0.0208,0.0000,0.0101,62.1%
