Dataset,Temp,Distance,Gradius,Duration,Periodicity,Freq.,Location,Overall,Top_K-C,Coverage
GeoLife,0.7,0.0007,0.0158,0.0013,0.0240,0.0242,0.0179,0.0410,0.0547,77.6%
GeoLife,1.0,0.0006,0.0115,0.0009,0.0049,0.0173,0.0110,0.0250,0.0462,77.3%
GeoLife,1.2,0.0007,0.0098,0.0014,0.0016,0.0000,0.0061,0.0209,0.0384,72.8%
GeoLife,1.4,0.0008,0.0123,0.0007,0.0056,0.0139,0.0144,0.0199,0.0252,70.7%
GeoLife,1.6,0.0011,0.0172,0.0007,0.0115,0.0208,0.0144,0.0235,0.0384,65.3%
MobilitySyn,0.7,0.0020,0.0356,0.0383,0.1402,0.0242,0.0000,0.0083,0.0175,76.7%
MobilitySyn,1.0,0.0020,0.0602,0.0280,0.1771,0.0278,0.0000,0.0074,0.0151,71.5%
MobilitySyn,1.2,0.0021,0.0704,0.0217,0.1784,0.0278,0.0000,0.0073,0.0154,69.1%
MobilitySyn,1.4,0.0023,0.0884,0.0178,0.1769,0.0278,0.0000,0.0073,0.0265,65.6%
MobilitySyn,1.6,0.0027,0.1042,0.0149,0.1675,0.0278,0.0000,0.0074,0.0273,64.4%
